review_text,label
Just bot a 2018 Forester with cvt transmission. I no more than got it home and the car would cut out 1-2 seconds or more from a stop or slow movement. Apparently this can be a problem with some cvt transmissions. It is dangerous in close traffic or pulling out into oncoming traffic. Took it back to the dealer who told me it takes a while for the car to get used to my driving habits. I cant buy this. Once the car cuts out it starts back up with a sudden jerk forward. This is unacceptable and am considering envoking the lemon law. Also the spedometer is set back under a cover and is hard to read.,neg
"This is the noisiest car I  have ever owned.  Terrible wind noise through the windows and the sun roof.  I consider the steering to be dangerous, as it almost pulled me off the road on a curve and constantly jerks to the right even when I am directly in the middle of the lane.  I've read complaints from others that this appears to be connected to the lane sway feature of the electronics (not the lane departure feature).  The dealer says it's all in my  head, although the loaner car they gave me was like a normal car that had smooth steering and the steering wheel didn't jerk once.  I consider my car a lemon and I regret buying it -- especially when the men who sold me this expensive car keep ignoring my complaints.",neg
"Hello. My name is Steve and I recently purchased new 2018 Subaru Forester. Not long afterwards I had a very surprising discovery I would like to share with you guys. Every time you will disconnect your battery you will need to have your windows reprogrammed in order for them to function. It can be done at your Subaru dealership. I did contact Subaru of America representative to confirm everything - yes, windows need to be reprogrammed. And on top of enormous inconvenience it brings - YOU WILL HAVE TO PAY FOR IT! 
I couldn't believe it when they said it. Don't forget - you disconnect the battery not only when you exchange it for the new one. Most of the repairs start with the words: ""disconnect your battery"". I know people who during really cold nights in the winter time disconnect the battery and place it in the warm of the house to insure the car will start in the morning. 
I just wanted to warn my fellow customers who still deciding which way to go about that fact.",neg
"Subaru prominently displays, on the console screen, a picture of a car with an arrow pointing toward a gas pump. Next to this graphic is some number of miles, always a multiple of ten. I was wondering if I could trust it and wanted to trust it because it gave me plenty of miles to get to the next State of Washington gas pump which I'm supposed to use. I watched it carefully as it dropped from 50 to 40 to 30. I was about 15 miles from the State pumps when the display went from 30 miles to empty to a series of dashes. Great! Why even include this feature if it bails on the driver at that critical point when gas is running out? I immediately found a gas station and charged an expensive tank full to the State of Washington. And, I drove away with a sour feeling about what is otherwise a decent car.",neg
My wife leased a 2016 model and within 6 mths  the battery began to completely fail without any warning.  After 6 or so episodes of this the dealer replaced the car with a 2017 model.  Well guess what: after approx. 6 mths the battery completely failed again.  Do not buy/lease a Subaru Forrester unless you enjoy waking up each day wondering if your car will start!,neg
"I ordered a toyota RAV4 but got a Forrester from Alamo.  Drove the car 4 weeks.  Display drove me crazy.  Clock was advancing hilarously.  very unlogical controls.  Banged my head several times against the trunk lid.  Underpowered car.  Overtaking others is a life threathening experience.  Loads of noise but car does not move faster.  never again.  Drove a Hyundai I10 the week before in rough roads in Iceland, performed much better...",neg
"I purchased this vehicle because of Subaru's reputation for making high quality cars.  I bought a 2017 Subaru Forester last year.  I've had it less than a year and it's been in the shop more times than I can count.  I had it less than a week when the eyesight started failing. The service center said they fixed it.  Then it would happen again.  The service center would say they fixed it again.  Then it would happen again. This happened at least 4 times. And, I stopped taking it in.  Then there was a recall because the engine fluid wasn't properly filled.  Then the tire pressure monitoring system alarm went off.  I took it in. The service center said it would take an hour.  It took over two hours.  When I go the car, the alarm light was still on.  The service center assured me it would turn off after driving. Not true. I took it back into the service center. Left it there for 4 hours. They said the car was ready and they had fixed the problem. I went to pick it up and then they said it actually wasn't ready, but would be soon.  Then after waiting longer, they said actually the problem wasn't fixed and they would have to order new parts.  This is an ongoing saga.  I'd strongly advise anyone not to purchase this vehicle. It's a poor quality product and Subaru provides poor service.",neg
"My 2017 Forester XT Touring model has been one disappointment after another. The CVT transmission is just horrible, and completely detracts from owning the turbo model. When I try to accelerate quickly there is a 2 second delay before the car takes off. The manual shift mode doesn't help at all. The RPMs jump up to about 4000 and just stay there (whether I'm in the manual shift mode or not) until I ease up on the accelerator. The Harman Kardon sound system is terrible, too. The bass response is overbearing. I have to turn the bass all the way down, and it's still way too overbearing. The Harman Kardon system doesn't have speed controlled volume leveling, or several other features that are found on Subaru's basic sound system. The paint job on my Forester is terrible. The paint is so thin that it is chipped very easily. While washing the car, I have found several tiny little chips in the hood, the roof, and the doors. It seems that every time I wash the car I find new chips in the paint. I took it to the dealer to report the problem with the paint and the dealer told me to report the problem to Subaru of America (SOA). I reported the problem to SOA and they told me to take the vehicle to a dealer. The dealer says there's nothing they can do about the paint, so SOA says there's nothing they can do either. The climate control system doesn't work very well. When I'm heating up the interior, in the winter, and the desired temperature is reached, the AC comes on. The remote start is pretty worthless because the car shuts off when I open the door, so I have to re-start the vehicle (brilliant engineering). I have music stored on a USB drive, but every time I switch to the USB to listen to music it takes several minutes for the music to load. There are many other disappointments with this vehicle. Let me just say that I had a 2005 Forester XT Limited that blew this this away, as far as the overall quality was concerned, but also performance wise, too. Subaru has gone way downhill. I'll never own another one after this.",neg
"This is our 4th Subaru. Previously owned Impreza 2007, Forester 2011 and Outback 2013. I got to say, I'm extremely disappointed with 2017 Forester. Aesthetically it is very appealing and during the test drive everything appears to be great. Well after driving for 5 thousand miles and couple of smaller road trips, we realized that ride quality is very poor,  it feels like the car wobbles side to side like a carriage and because of the wobble it you constantly have to correct the wheel for it to go straight, especially at higher speeds. My 2011 Forester went dead straight and we went 2500 road trip in our 2013 Outback and it felt perfectly safe. My guess is that Subaru is trying so hard to appeal to general public with wrong tastes for so called ""softer ride"" they completely ruined what used to be an amazing line of cars. I would not recommend anyone getting Forester 2017, I wish i could take an extended drive in a car before we leased it and now we are stuck!",neg
Drives [non-permissible content removed] in cross wind.Any wind will torque steer this car.Going to trade in asap.Drivers power seat very uncomfortable  with no rear bottom adjustment.,neg
