review_text,label
"Very comfortable compact SUV, last of the manuals in this model. Limited miles so far...Wish they would make American MT's with LIGHTER fly wheels!",pos
"There are too many weak components to this vehicle despite its popularity in the marketplace. The transmission is the most frustrating as it shifts into a higher gear after turning a corner instead of downshifting. The body design ""catches"" weeds and debris if you go off road even a little bit. The gas latch frequently freezes shut in the winter months.",neg
"When it rains the water entering and builds up between inside  panel and exterior body parts and leak in trunk area when open. Can press the rear pillars and water will drip out  and be wet,",neg
"We owned this vehicle for one day when I said to my husband, ""this car needs to be tuned.""  We brought it back to the dealer and they said they could not do anything.   Honda did not have a fix.  We test drove the car when it was cold out -- it did not vibrate.  When the car warms up -- the vibrations are so bad that I do not like driving the car.  Don't buy this car until they fix the problem.  I have been waiting 4 months ...no fix yet.",neg
Please.please...before you buy one do your research on the vibration problem that Honda is saying is a characteristic of the new Honda 2015 CRV. Met with a Honda America guy 2 weeks ago and he is saying All the 2015 Honda CRV have a characteristic of vibration. It comes with all the new cars. Honda not willing to do anything about it. Driven Honda's all my life. Never agin. Even if you do not know it your car will vibrate. My car started vibration problem.. 2 months after I bought it.  Please do not buy one. You will be sorry.,neg
Internet online purchase is the best way to buy any 2017 Honda Pilot!,pos
"Did tons of research before buying a new car.  Since cars are so expensive wanted one that would last long and was reliable. In the end it came down to Toyota, Honda and Subaru.  All are very reliable. Subaru has the best resale value. Was set on a crosstrek when I decided to test drive a Forester. Three things made my choice.  The incredible vision, no other car I drove came close, the added power, and the ample room to carry cargo.  Also the back seats are roomy and actually recline a bit. I'm 6' and feel comfortable in the back seats.  I like prefer the styling on the forester because similar cars that look sportier have roofs that slope down cutting down on storage and visibility. I down do rock crawling but I like to drive into the mountains to take photos, this car can go almost anywhere. Service roads and trails are no problem. I opted for the turbo for the added power for freeway driving, also comes with almost everything, only option is eyesight.  Subarus trailer hitch is great but expensive. I didn't buy a forester to race around I bought because of practicality and reliability, that being said I love driving it. While many cars corner better, this car can handle swerves and avoidance maneuvers better than anything I have test driven or owned, the AWD is amazing.",pos
"We purchased the Cherokee limited with the Active Drive II transmission to pull behind a RV. This was the trans we were told could be flat towed. We were not told that it came with an off road suspension which produces an incredibly rough ride on all but the smoothest asphalt. Speaking to Chrysler was a wast of time since they blamed us for not test driving the car. They don't seem to think they owe anyone the courtesy of telling them up front it's off road. A Luxury $40,000 SUV with ""Off Road Suspension"" begs the question what were they thinking or not thinking.",neg
I was unfortunate enough to buy Cherokee SUV and that car has been plagued with problems. FCA is nightmare to deal with poor support and denial when it comes to resolving issues. Do yourself a favor and avoid any FCA product at all cost.,neg
"This is the third CRV I have owned (08,13,17) it keeps on getting better. I love all the new safety features. They all got great mileage this one averages 30 mpg city/highway. This time I went up a model to EXL Loving the dual temp, leather interior and the wood trim adds class.",pos
